year,city,country,avg_temp
1911,Copenhagen,Denmark,8.89
1912,Copenhagen,Denmark,7.64
1913,Copenhagen,Denmark,8.59
1914,Copenhagen,Denmark,9.00
1915,Copenhagen,Denmark,7.18
1916,Copenhagen,Denmark,7.98
1917,Copenhagen,Denmark,7.50
1918,Copenhagen,Denmark,8.05
1919,Copenhagen,Denmark,7.05
1920,Copenhagen,Denmark,8.35
1921,Copenhagen,Denmark,8.77
1922,Copenhagen,Denmark,6.90
1923,Copenhagen,Denmark,7.23
1924,Copenhagen,Denmark,7.28
1925,Copenhagen,Denmark,8.33
1926,Copenhagen,Denmark,8.29
1927,Copenhagen,Denmark,7.65
1928,Copenhagen,Denmark,7.69
1929,Copenhagen,Denmark,6.97
1930,Copenhagen,Denmark,8.62
1931,Copenhagen,Denmark,7.32
1932,Copenhagen,Denmark,8.48
1933,Copenhagen,Denmark,8.21
1934,Copenhagen,Denmark,9.60
1935,Copenhagen,Denmark,8.52
1936,Copenhagen,Denmark,8.36
1937,Copenhagen,Denmark,8.41
1938,Copenhagen,Denmark,9.21
1939,Copenhagen,Denmark,8.60
1940,Copenhagen,Denmark,6.36
1941,Copenhagen,Denmark,6.65
1942,Copenhagen,Denmark,6.36
1943,Copenhagen,Denmark,8.82
1944,Copenhagen,Denmark,8.45
1945,Copenhagen,Denmark,8.84
1946,Copenhagen,Denmark,8.00
1947,Copenhagen,Denmark,7.67
1948,Copenhagen,Denmark,8.77
1949,Copenhagen,Denmark,9.30
1950,Copenhagen,Denmark,8.41
1951,Copenhagen,Denmark,8.44
1952,Copenhagen,Denmark,7.46
1953,Copenhagen,Denmark,8.98
1954,Copenhagen,Denmark,7.58
1955,Copenhagen,Denmark,7.61
1956,Copenhagen,Denmark,6.88
1957,Copenhagen,Denmark,8.35
1958,Copenhagen,Denmark,7.65
1959,Copenhagen,Denmark,9.04
1960,Copenhagen,Denmark,8.05
1961,Copenhagen,Denmark,8.85
1962,Copenhagen,Denmark,7.35
1963,Copenhagen,Denmark,7.01
1964,Copenhagen,Denmark,7.86
1965,Copenhagen,Denmark,7.36
1966,Copenhagen,Denmark,7.66
1967,Copenhagen,Denmark,8.86
1968,Copenhagen,Denmark,8.26
1969,Copenhagen,Denmark,7.70
1970,Copenhagen,Denmark,7.29
1971,Copenhagen,Denmark,8.51
1972,Copenhagen,Denmark,8.18
1973,Copenhagen,Denmark,8.57
1974,Copenhagen,Denmark,8.88
1975,Copenhagen,Denmark,9.29
1976,Copenhagen,Denmark,8.15
1977,Copenhagen,Denmark,8.37
1978,Copenhagen,Denmark,7.93
1979,Copenhagen,Denmark,7.04
1980,Copenhagen,Denmark,7.54
1981,Copenhagen,Denmark,7.80
1982,Copenhagen,Denmark,8.55
1983,Copenhagen,Denmark,8.89
1984,Copenhagen,Denmark,8.36
1985,Copenhagen,Denmark,6.99
1986,Copenhagen,Denmark,7.52
1987,Copenhagen,Denmark,6.98
1988,Copenhagen,Denmark,8.91
1989,Copenhagen,Denmark,9.66
1990,Copenhagen,Denmark,9.83
1991,Copenhagen,Denmark,8.62
1992,Copenhagen,Denmark,9.47
1993,Copenhagen,Denmark,8.16
1994,Copenhagen,Denmark,9.15
1995,Copenhagen,Denmark,8.75
1996,Copenhagen,Denmark,7.31
1997,Copenhagen,Denmark,8.91
1998,Copenhagen,Denmark,8.65
1999,Copenhagen,Denmark,9.37
2000,Copenhagen,Denmark,9.67
2001,Copenhagen,Denmark,8.78
2002,Copenhagen,Denmark,9.54
2003,Copenhagen,Denmark,9.05
2004,Copenhagen,Denmark,9.00
2005,Copenhagen,Denmark,9.11
2006,Copenhagen,Denmark,9.74
2007,Copenhagen,Denmark,9.87
2008,Copenhagen,Denmark,9.82
2009,Copenhagen,Denmark,9.22
2010,Copenhagen,Denmark,7.54
2011,Copenhagen,Denmark,9.31
2012,Copenhagen,Denmark,8.70
2013,Copenhagen,Denmark,8.81
